Amendment	n.宪法修正案
applicant	n.申请人
application	n.申请 n.施用，运用；作用，影响
apply	v.应用，适用 vi.申请
appoint	vt.任命，选派
appointment	n.约会 n.指定
apportion	vt.（按比例或计划）分配
appraisal	n.评价，估价
appreciable	adj.(数量或变化)很大的，值得重视的
appreciate	vt.赏识；鉴赏 vt.感激
appreciation	n.欣赏；口味，兴趣
apprentice	n.学徒
approach	n.方法 vt.接近，靠近
approaching	adj.接近的，逼近的
appropriate	adj.适当的 vt.拨款；占用
appropriation	n.拨款
approval	n.赞成，正式批准
approve	vt.批准 vi.赞成，同意
approximate	v.接近，近似 adj.大约的，估计的
approximately	adv.近似地，大约
apt	adj.恰当的，贴切的 adj.易于…的
aptly	adv.适当地，得体地
aquamarine	n.绿玉；碧绿色
aquarium	n.水族馆
aquatic	adj.水生的，水栖的
arbitrary	adj.专横的，专制的，武断的
arboreal	adj.树栖的；树的
arc	n.弧形，拱形
archaeological	adj.考古学的
archaeology	n.考古学
archipelago	n.群岛
architect	n.建筑师
architectural	adj.建筑上的；建筑学的
architecture	n.建筑；建筑学
ardent	adj.热烈投入的，极热心的
arduous	adj.费力的，艰难的
arena	n.竞技场，舞台
aria	n.独唱曲，咏叹调
arid	adj.干旱的；贫瘠的
arithmetic	n.算数
armor	n.装甲；装甲车
armored	adj.披甲的，装甲的
armory	n.纹章；兵工厂，军械库
arms	n.武器，兵种
aroma	n.香气，芬芳，芳香
aromatic	adj.芬芳的
arouse	vt.刺激，激起；唤醒
arrange	vt.计划，准备 vt.整理，摆放
arrangement	n.排列，安排
array	n.编队；大批
arsenal	n.兵工厂，军械库
arthritis	n.关节炎
article	n.论文，文章 n.物品 n.条款
articulate	vt.清楚地讲话，清晰地发音 adj.善于言辞的；表达清晰的
artificial	adj.人造的，人工的 adj.虚假的，矫揉造作的
artisan	n.手工业工人，手艺人
ascend	vt.（渐渐）上升，升高；攀登
ascending	adj.上升的，向上的
ascent	n.上升，攀登
ascribe	vt.把…归于
aspect	n.（问题等）方面；样子，外表
aspiration	n.雄心，抱负
aspiring	adj.有抱负的,有理想的,积极向上的
assault	n.（武力）袭击；（口头）攻击
assemblage	n.集合，组合
assemble	vt.集合，装配 vi.聚集
assembly	n.集会；参加集会的人们 n.装配，安装
assert	vt.声称，坚持
assess	vt.估计，分析，评估
assessment	n.估价，评估
asset	n.assets 财产，资产 n.优势；重要的品质
assignment	n.任务，作业 n.分配
assimilate	vt.学习，吸收（知识） vt.吃，吸收
assist	vt.援助，帮助
assistance	n.协助，援助
assistant	n.助手，助教 adj.辅助的，助理的
assistantship	n.研究生助教奖学金
associate	v.关联，联合 n.伙伴 adj.准的/副的（比正职低一级）
association	n.关联，联合 n.协会
assorted	adj.各式各样的，多样混合的
assortment	n.各类物品的聚集，混合物
assume	vt.假定，设想 vt.承担(责任)；采用(形式或姿势)
assumption	n.假设；就职
assure	vt.确保；向…保证，使确信
assuredly	adv.确实地，确信地
astonish	vt.使惊讶
astonished	adj.惊讶的
astonishing	adj.惊人的，奇迹的
astound	vt.使惊异
astounding	adj.令人吃惊的
astronomer	n.天文学家
astronomical	adj.天文学的
astronomy	n.天文学
astute	adj.机敏的，精明的
asymmetrical	adj.不均匀的, 不对称的
atheist	n.无神论者
athlete	n.运动员
atmosphere	n.大气，大气层；（某地的）空气
atom	n.原子
atomic	adj.原子的；微小的
atomization	n.原子化；雾化
atrophy	n.萎缩；萎缩症
attach	vt.系，缚
attached	adj.附加的，附属的
attachment	n.依恋，喜欢 n.附件，附加装置，配属
attain	vt.达到，获得
attainment	n.成就
attempt	n./vi.尝试
attend	vt.参加；入学 vt.照顾
attendance	n.出席，出席的人数
attendant	n.侍者，护理人员 adj.伴随的
attention	n.注意，重视，关心
attire	n.穿着，服饰（正规服装的总称）
attorney	n.代理人，辩护律师
attract	vt.吸引；引起注意
attraction	n.吸引；吸引人的事物
attractive	adj.吸引人的，有魅力的
attribute	n.属性，品质 vi.把…归于，归因于
audible	adj.听得见的
audience	n.观众
audit	vt.旁听；稽核，审查
audition	n.（对艺人的）面试（试演/试唱）
auditorium	n.大礼堂
auger	n.螺丝钻，钻孔机
augment	vt.增加，增大
aurora	n.极光=auroral light
authentic	adj.真的；可靠的，确实的
authenticate	vt.证明…为真
authority	n.权力，权限；权威人士 n.authorities 当局
authorize	vt.授权，批准
autobiographical	adj.自传的，自传体的
autobiography	n.自传
automated	adj.自动的
automatic	adj.自动(化)的；无意识的，机械的
automotive	adj.汽车的，自动推进的
autonomous	adj.自治的，独立的
autonomy	n.自治，自治权
auxiliary	adj.辅助的；补充的
available	adj.自由的，有空的 adj.可利用的，可得到的
avalanche	n.雪崩
avant-garde	n.先锋派(艺术流派)；先锋，前卫
avenue	n.林荫道, 大街
average	adj.一般的，通常的；平庸的 n.平均水平；平均数 vt.平均为
averse	adj.反对的，不愿意的
aversion	n.厌恶，憎恨
avert	vt.转移；避免，规避
aviation	n.航空；航空学
aviator	n.飞行员，飞行家
avid	adj.渴望的；热心的
avocation	n.(个人)副业，业余爱好
avocational	adj.副业的，嗜好的
avoid	vt.躲避，规避
avoidable	adj.可避免的
avoidance	n.避免
awareness	n.意识
awkward	adj.笨拙的，不灵活的
awkwardly	adv.(见到生人)局促不安地，笨拙地
axis	n.轴；轴心
baboon	n.狒狒
baby-sitter	n.临时保姆，代人照顾婴儿者
bachelor	n.学士（学位）；单身汉
backbone	n.骨干，支柱 n.脊椎，中枢
backdrop	n.舞台背景；背景
backpack	n.背包
baggage	n.行李
balance	n.平衡 vt.使平衡，使均衡
balanced	adj.均衡的；平稳的
bald	adj.秃头的；光秃的
ballet	n.芭蕾舞
balloon	n.气球
balloonist	n.气球驾驶者
balmy	adj.芳香的；（空气）温和的
ban	vt.禁止，查禁
band	n.乐队；队 n.（光或颜色的）带；带子 vi.联合，集合
bandanna	n.大手帕
bandleader	n.乐队指挥
bandmaster	n.乐队指挥
bang	v.发出砰的一声，重击
banker	n.银行家
bankrupt	adj.破产了的 v.（使）破产
bankruptcy	n.破产
banner	n.旗帜，标语，横幅
bar	n.酒吧 snack bar 快餐店 n.条，棒；栅 n.律师业
barb	n.（鱼钩等的）倒钩；倒刺
barbecue	n.烤肉野餐
barber	n.理发师
bare	adj.无遮蔽的，赤裸的，光（秃）的 adj.仅有的，勉强的
barely	adv.仅仅 adv.几乎不能
barge	n.驳船
bark	n.树皮 n./vi.狗叫，咆哮
barn	n.谷仓；畜棚
baroque	adj.高度装饰的，过分雕琢的
barrel	n.桶
barren	adj.贫瘠的；荒凉的
barrenness	n.荒凉
barrier	n.屏障，障碍；栅栏
barter	n./v.物品交换，易货贸易
basement	n.地下室
basin	n.盆；盆地
bead	n.珠子；（液体）小滴
beaded	adj.以珠装饰的，珠状的
beak	n.鸟喙
beam	n.木结构大梁
bean	n.豆子
bear	vt.负担，支撑 vt.具有，带有 vt.生产，生育 n.熊（polar bear 北极熊，grizzly bear 灰熊）
beard	n.胡须
beat	v.打击，敲击；打败 adj.疲倦的 n.（音乐）拍子
bedrock	n.基础；基石
behalf	n.代表…，作为…的代表
behave	vi.举止，表现
behavior	n.举止，行为
belie	vt.给人错觉；掩饰
bellows	n.风箱
below	prep./adv.在…下面
beneath	adv./prep.在…之下
beneficial	adj.有益的，有利的
benefit	n.利益，好处 vt.有益于，有助于
benign	adj.（病）良性的；亲切和蔼的
bequest	n.遗产，遗赠
besides	adv.除了…（还有）
besiege	vt.围攻；困扰
bestow	vt.给与，赐赠
betray	vt.出卖，背叛
beverage	n.（除水之外的）饮料
bias	n.偏见，偏好
bicameral	adj.两院制的，有两个议院的
bilateral	adj.有两面的, 双边的
bill	n.帐单，发票 n.（细长或扁平的）鸟嘴 n.议案，法案 n.钞票，纸币
billion	n./adj.十亿（的）
biographer	n.传记作家
biography	n.传记
biologist	n.生物学家
bison	n.美洲或欧洲的野牛
bitter	adj.苦（味）的 adj.（令人）痛苦的；尖酸刻薄的
bitterness	n.苦味；辛酸，苦难
bizarre	adj.奇异的，古怪的
blacksmith	n.铁匠
blame	vt.谴责，责备 n.过失，责备
bland	adj.淡味的；无味的
blanket	n.毯子；厚的遮盖物
blast	vi.爆破 n.一阵（风、气流或噪音）
blaze	vi.燃烧，照耀 n.火焰，光辉
blazing	adj.炽烧的；闪耀的
bleach	vt.去色，漂白
bleak	adj.荒凉的，凄凉的
blend	vt.混合，掺混 n.混合（物）
blessing	n.祝福，恩赐
blink	v.眨眼
blizzard	n.暴风雪
block	n.一块（木头或石头等） n.街区 vt.阻碍，阻止
bloom	v.（使）开花，（使）繁盛  n. 花
blossom	n./vi.花/开花
blues	n.抑郁，沮丧；布鲁斯音乐
bluff	n.悬崖，绝壁；v.诈骗，吓唬
blunt	adj.直言不讳的 adj.钝的，不锋利的，不尖的
blush	vi.脸红，羞愧
board	n.（薄而平的）木板 n.委员会 n.膳食费用 vt.上（船、飞机等）
boarder	n.寄宿者；寄生者
boardinghouse	n.寄宿公寓
boast	n./v.自夸，以有…而自豪
boastful	adj.吹嘘的，自负的
bold	adj.勇敢的，大胆的；放肆/无礼的
bolster	n.垫子，枕垫 vt.支持
bonanza	n.富矿带；幸运，带来好运的事
bond	n.联结，联系；粘连；化学键 n.公债
boom	n.繁荣 vi.急速发展
boon	n.恩惠，恩赐
boost	vt.增加，提高，促进
bore	vt.钻孔；令人厌烦
boredom	n.烦恼，无聊
boring	adj.令人厌烦的
boulder	n.巨石
bounce	v.（使）反跳，弹起
bound	adj.被束缚的；有义务的 n.范围，限制
boundary	n.分界线，边界
boundless	adj.无限的，无边无际的
bouquet	n.花束
bow	n.弓；弓形
bowl	n.碗，碗状物
bowlegged	adj.弯脚的
braid	vt.编织
brain	n.脑，大脑；头脑，智力
brawl	n.争吵
brawling	n.争吵，喧嚷
breach	vt.打破，突破 n.违背，破坏
breakup	n.分裂，分离
breath	n.呼吸，气息
breathe	v.呼吸，呼出
breathing	n.呼吸
breathless	adj.无声息的，喘不过气来的
breathtaking	adj.令人激动的；惊人的
breed	vt.养育，繁殖
breeze	n.微风
brighten	v.点亮 vt.使愉快；使乐观
brilliance	n.聪明；辉煌
brilliantly	adv.辉煌地，灿烂地
brim	n.边；边缘
briny	adj.盐水的，咸的
brisk	adj.活泼的，轻快的
briskness	n.敏捷，活泼
brittle	adj.易碎的
broad-brimmed	adj.宽边的
broadcast	n./vt.广播；传播
broaden	v.放宽，变宽，扩大
brochure	n.小册子
bronze	n.青铜；铜像
brook	n.小河
brown	n./adj.褐色（的），棕色（的） vt.（使）成褐色，晒黑
brownish	adj.成褐色的
bubble	n.气泡，水泡
buckle	n.皮带扣环 v.扣紧；（使）变弯曲
bud	n.芽，蓓蕾 vi.发芽
buddy	n.密友，伙伴
budget	n.预算
buggy	n.小马车，童车
bulb	n.电灯泡；球茎
bulk	n.大批；大部分 n.大小，体积
bulky	adj.庞大的，笨重的
bump	n.肿块；突起 v.碰（伤），撞（破）
bunch	n.串，束；群 vi.捆成一束；聚集
bundle	n.捆，束，包 vt.捆
burdensome	adj.繁重的，劳累的
burgeon	vi.迅速成长，发展
burning	n./adj.燃烧（的） adj.强烈的
burrow	n.洞穴 vi.挖地洞
bush	n.矮树丛
bust	n.半身像，半身雕像
bustle	n.喧闹，匆匆忙忙
butter	n.黄油，牛油
butterfly	n.[动]蝴蝶
buzz	n./v.嗡嗡声；发出嗡嗡声
buzzer	n.蜂鸣器
by-product	n.副产品
cab	n.出租马车、汽车
cabin	n.小屋；船舱
cabinetmaker	n.家具师，细木工匠
cacti	n.（pl）仙人掌-单数cactus
cadence	n.（语调的）抑扬顿挫
calculate	vt.计算；估计
calculation	n.计算，考虑
calculator	n.计算器
calibration	n.校准；标度，刻度
calm	adj.（天气、海洋等）静的，平静的 adj.镇静的，沉着的 vt.使平静，使镇定，平息
camouflage	n./v.伪装
campaign	n.(政治或商业性)活动，竞选活动
cancel	vt.取消
cancellation	n.取消
candid	adj.率直的，坦白的
candidate	n.候选人
cannibalism	n.同类相食
canopy	n.天篷，遮篷
canvas	n.帆布；画布
canyon	n.峡谷
capability	n.能力
capable	adj.有能力的
capacity	n.容量；能力
capillary	n.毛细管
captivity	n.囚禁，拘留
carapace	n.（蟹或龟的）甲壳
carat	n.（宝石重量单位）克拉
carbohydrate	n.碳水化合物
cardiac	adj.心脏的
cardinal	adj.首要的，主要的 n.一种美洲鸟，雄性有深红色羽毛
career	n.生涯，职业
careerism	n.野心，追求名利
careful	adj.小心的，仔细地
careless	adj.粗心的，疏忽的
carelessly	adv.不注意地，粗心地
cargo	n.货物
caricature	n.讽刺画
carnival	n.狂欢节
carnivorous	adj.食肉的
carve	vt.切开；雕刻
carver	n.雕刻匠，雕工
carving	n.雕刻品，雕花
cassette	n.盒式磁带
cast	vt.浇铸 vt.投，抛
cast-iron	adj.铸铁的
casting	n.铸件，铸造
casual	adj.非正式的，随便的；漫不经心的
catalyst	n.催化剂；促使事情发展的因素
catalyze	vt.促使；激励
catastrophe	n.异常的灾祸
catching	adj.传染的；有魅力的，迷人的
categorize	vt.分类
category	n.种类，类目；范畴
cater	vi.满足需要，迎合
caterpillar	n.毛虫
cathedral	n.总教堂，大教堂
cause	vt.导致，引起 n.原因；事业
caution	n.小心，谨慎 vt.警告
cautious	adj.小心的，谨慎的
cautiously	adv.小心地，谨慎地
cavern	n.大山洞，大洞穴
cavity	n.洞；腔
cease	v.停止，终止
ceaseless	adj.不停的
celebrate	vt.庆祝，祝贺；表扬，赞美
celebrated	adj.有名的，大名鼎鼎的
celebrity	n.名人
celestial	adj.天体的；天上的
cell	n.细胞，单人牢房，电池
cellist	n.大提琴家
cello	n.大提琴
census	n.人口调查，人口普查
centennial	n.百年纪念
centigrade	adj.摄氏（温度）的
ceremonial	n.仪式 adj.正式的；仪式的
ceremony	n.典礼，仪式；礼节
chafe	vt.（将皮肤等）擦热，擦破 vt.使恼火
chagrin	n.懊恼，失望
chalk	n.粉笔
chamber	n.室；房间
champion	n.冠军；拥护者 vt.支持；主张
championship	n.锦标赛
chaos	n.混乱
chaotic	adj.混乱的
chapel	n.小礼拜堂
character	n.角色；性格
characteristic	adj.典型的，表现特征的，特有的 n.特征，特性
characterize	vt.表现…的特色，刻画…的性格
charcoal	n.炭；木炭
charitable	adj.慈善事业的，慈善的；仁慈的
chart	n.海图，图表 vt.制图
charter	v.包租；特许 n.宪章，章程
chaste	adj.贞洁的，朴素的
chat	vi.闲谈
chateau	n.城堡，高级旅馆
check	vt.检查，核对；阻止，控制 n.支票
checkout	n.检验，校验
checkup	n.审查；身体检查
chef	n.厨师
cherish	v.怀抱（希望等）；珍爱
chill	vt.使冷，变冷；冷却 n.寒意，寒战
chilli	n.红辣椒
chilly	adj.寒冷的
chimpanzee	n.黑猩猩
chisel	n.凿子 v.砍凿，凿刻
chivalry	n.骑士气概，侠义；（男人）对女人彬彬有礼，献殷勤
choke	vt.使窒息
chop	vt.砍
choppy	adj.波浪起伏的,(风)不断改变方向的
chord	n.琴弦，心弦
chore	n.家务杂事
choreograph	vt.设计舞蹈动作
choreographer	n.舞蹈指导
choreographic	adj.舞蹈术的，舞台舞蹈的
choreography	n.舞蹈编排
chorus	n.合唱团
chromosphere	n.色球
chronic	adj.长期的；慢性的
chronological	adj.按年代顺序排列的
chronology	n.年代学，年表
chubby	adj.丰满的，圆胖的
chunk	n.大块
cider	n.苹果酒，苹果汁
cipher	n.密码
circle	n.圆周，圆形物 n.（具有共同兴趣、利益的人组成的）圈子，集团 vt.包围，环绕
circuit	n.电路
circular	adj.循环的；圆的
circulate	v.（使）循环；（使）传播
circulation	n.循环；流通
circumference	n.圆周；周长
circumscribe	vt.划界限；限制
circumstance	n.环境，情况
citadel	n.堡垒，要塞
cite	vt.引用，举例
citizenship	n.公民（的身份）
civil	adj.公民的；市民的 adj.国内的
civilian	adj.平民的；民用的 n.平民
civility	n.彬彬有礼，斯文
civilization	n.文明，文化
claim	n.要求，要求权 v.声称，主张
clam	n.蛤，蛤肉
clamor	n.叫嚣，喧哗
clan	n.家族，宗族
clap	n.拍手声；霹雳声 v.鼓掌；轻拍
clarification	n.澄清，净化
clarify	vt.澄清，阐明
classification	n.分类，分级
classify	vt.把…分类，分等级
clause	n.分句；条款
clay	n.粘土；泥土
clergy	n.牧师
clergyman	n.牧师，教士
cliff	n.悬崖峭壁
climate	n.气候；社会风气或趋势
climatic	adj.气候上的
cling	vi.粘紧，附着 vi.坚持（意见），墨守（习惯）
clinic	n.门诊所
clinical	adj.临床的
clip	vt.修剪
clockwise	adj./adv.顺时针方向的（地）
clog	vt.障碍，阻塞
clumsy	adj.笨拙的；愚笨的
cluster	n.簇，串，群 vi.丛生；聚集
clutch	v.抓住，攫取 n.一次产的或孵的蛋（或卵）
coach	n.教练 n.四轮大马车
coalesce	vi.联合，合并
coalescence	n.合并，联合
coalition	n.联合，同盟
coarse	adj.粗糙的
coax	vt.哄诱，巧言诱哄
codify	vt.编成法典，编辑成书
coexist	vi.同时存在，共存
coffeepot	n.咖啡壶
cognitive	adj.认知的；感知的
coherence	n.一致
coherent	adj.粘在一起的 adj.连贯的；有条理的
cohesion	n.附着（力），凝聚力
cohesive	adj.粘着的
coil	n.（一）卷；线圈 vt.盘绕，卷
coin	n.铸币 vt.创造（一个新的词语或短语）
coinage	n.造币，货币制度
coincide	vi.同时发生；相符合，相巧合
coincidence	n.一致；同时发生或同时存在的事
coincident	adj.一致的，符合的；巧合的
collaborate	vi.协作，合作
collaboration	n.合作
collapse	n.倒塌；崩溃，失败
colleague	n.同事，同僚
collective	adj.集体的，共同的
collide	vi.碰撞；冲突
collision	n.碰撞；冲突，抵触
colloquial	adj.口语的，通俗语的
colloquialism	n.俗话，白话，口语
colonel	n.陆军上校
colonial	adj.殖民的，殖民地的
colonize	vt.建立殖民地，拓殖 vt.定居，居于
colony	n.殖民地；群体
colossal	adj.巨大的
combination	n.化和，组合
combine	v.联合，结合
combustible	adj.易燃的
combustion	n.燃烧
comet	n.彗星
cometary	adj.彗星的，彗星似的
comic	adj.滑稽的，好笑的；喜剧的
comical	adj.滑稽的，好笑的
commander	n.司令官，指挥员
commemorate	v.纪念
comment	n.注释，评论 vi.谈及；注释，评论
commentary	n.注释，解说词
commentator	n.评论员，讲解员
commerce	n.商业
commercial	adj.商业的，贸易的
commercialize	vt.使商业化，使商品化
commission	vt.委任，任命；委托，委托制作 n.佣金
commissioner	n.委员，专员
commit	vt.犯（错误），干（坏事）
commitment	n.信奉，支持；许诺，承担义务
committed	adj.效忠的；忠于…的
committee	n.委员会
commodity	n.商品，日用品
commonplace	adj.平凡的
commonsense	adj.具有常识的
communal	adj.公共的；公社的
communicate	vt.传达，沟通；通信
communication	n.沟通；通讯
community	n.团体，社会；(生物)群落
commute	v.通勤
commuter	n.经常往返者
compact	adj.紧凑的，紧密的；简洁的 vt.压缩；使密集
compaction	n.压紧
companion	n.同伴，同事
comparable	adj.可比的，比得上的；类似的
comparative	adj.比较的
comparatively	adv.相当地；比较地
compatible	adj.可以并存的，相容的，协调的
compel	vt.强迫，使不得不
compensate	vt.补偿，赔偿
